handle,display_name,bio,followers,following,posts_count
babygoldie.bsky.social,News by babygoldie,Posts via automated bot. Likes and comments by a living human being! Msg via telegram @thebabygoldie to connect and discuss about markets!,433,2,394773
liabelle.me,Lia Belle 🌷,"Blogger. Content Marketer. News Junkie. Avid Reader. Crazy Cat Lady:

🐱 @sintrathecat.com
👩🏻‍💻 @libelcom.com
👩🏻 liabelle.me/linktree
💬 signal: libelcom.01

👉 Follow me for self-care, self-love, smart-shopping, travel, book, lowFODMAP tips📚",491,37,1204
eamt2026.bsky.social,,,23,14,54
json-translate.bsky.social,JSON Translate,Easily translate JSON language files,21,83,113
modilingua.bsky.social,Modilingua,"Localization, Multilingual SEO, LangOps, Content Ops 🌍 Helping startups & SMBs grow their international reach. 👉 modilingua.com",33,13,315
cscl-bot.bsky.social,arXiv cs.CL Computation and Language,"Unofficial bot by @vele.bsky.social w/ http://github.com/so-okada/bXiv https://arxiv.org/list/cs.CL/new

List https://bsky.app/profile/vele.bsky.social/lists/3lim7ccweqo2j
ModList https://bsky.app/profile/vele.bsky.social/lists/3lim3qnexsw2g",204,3,59601
tamslator.eurosky.social,Tam | She/her #TranslatorsInTheCredits,"(UTC+1)
Maker of stories, wizard of jokes, and feeder of many cats. 
Posts in EN/ES.
Croche-tea-ing, probably. Hating GenAI, for sure.
FREE PALESTINE

https://tamaramorales.carrd.co/
Second half of @loctinkerers.bsky.social

Avatar: @airiruriru.bsky.social",1077,358,2368
runefar.bsky.social,Rune,"He/Him/They(gender apathetic cis-male) Half Norwegian American whose pleasures in life include exploring different topics and considering how to build solutions to different issues. Has a background in earth science, anthropology and psychology +tech",702,2577,12999
barleybap.bsky.social,barleybap,"Scottish trans retro gamer and ooze seeking her own level. Sometimes translator, 100% completer of James Pond 3, Baby Jo-certified Best Baby, and mostly dormant streamer known to travel with a band of equally bad penguins.",2806,955,20942
oxivueofficial.bsky.social,,,2,17,29
insideloc.bsky.social,InsideLoc,"Down-to-earth, purely human language services and whatnot since 2001 by Carlos la Orden.
Tailored localization, technical translation, training, and the occasional laugh.
Quite the chatterbox if left unsupervised.",396,1231,381
localizethedocs.bsky.social,Localize The Docs,"Crowdin: https://localizethedocs.crowdin.com
GitHub: https://github.com/localizethedocs
Zulip: https://localizethedocs.zulipchat.com",5,3,61
emilymbender.bsky.social,Emily M. Bender,"Book: https://thecon.ai

Web: https://faculty.washington.edu/ebender",41411,615,3774
juicerdeals.bsky.social,,,18,1,1903
marcuspentzek.bsky.social,Marcus Pentzek (China Marketing),"Specializing in digital marketing strategies for China, with a focus on Baidu, WeChat, Douyin, and Little Red Book. At Jademond Digital, I apply data-driven techniques and deep market insights to optimize brand engagement across these key platforms. ",38,42,96
ohaasa.thekipa.com,오하아사 봇,おはよう朝日です(https://www.asahi.co.jp/ohaasa/ )의 별자리 운세를 자동으로 올리는 봇입니다. @bluesky.thekipa.com 이 관리합니다. 알파 기간 동안 봇이 오작동하는 경우 포스트를 제거할 수 있습니다.,2017,1,9391
asie.pl,asie,"retrocomputing enthusiast (ZZT, WonderSwan, etc.), full-time programmer, fandom tourist, cursed knowledge seeker, fake witch

opinions mine only and not those of my employers, friends, family members and/or guardian angels",821,302,1213
aricake.eu,ari-cake,,78,39,2005
iiotenki.bsky.social,"Tom, Legally Certified Date Simmelier","The Daigo Umehara of dating sims and the Tony Hawk of Tokimemo. Also your neighborhood Japanese game translator for over a decade. DM for work inquiries.

日英ゲーム翻訳者。日本語のメッセージも大歓迎！

📖 Blog: https://dateemups.com/
✍️ Portfolio: https://freelansations.com",2762,104,6314
tracynovick.bsky.social,Tracy O’Connell Novick,"Yes, that Tracy Novick
she/her/hers
Education policy and finance
I speak here only for me/ nullius in verba
from the Heart of the Commonwealth
Sometimes random photos of the cat
linktr.ee/TracyNovick",3663,328,10247
wiair.bsky.social,Women in AI Research - WiAIR,"WiAIR is dedicated to celebrating the remarkable contributions of female AI researchers from around the globe. Our goal is to empower early career researchers, especially women, to pursue their passion for AI and make an impact in this exciting field.",201,14,627
