source,target_uri,target,type
countneko.bsky.social,at://did:plc:ebpdtqyryit4ns3jwrum4i7g/app.bsky.feed.post/3moejbvisxc2b,laridaed.bsky.social,reply
relma2.bsky.social,at://did:plc:5tyvbztk3aazgc5bqfphnkt6/app.bsky.feed.post/3modozqtoes2g,,reply
countneko.bsky.social,at://did:plc:pc7gnuue7ou5k6mdmpdqyduu/app.bsky.feed.post/3moeohkm33c2g,lyzlocked.bsky.social,reply
blazemakesgames.bsky.social,at://did:plc:5tyvbztk3aazgc5bqfphnkt6/app.bsky.feed.post/3modozqtoes2g,,reply
dorkdad.bsky.social,at://did:plc:oosktiykvnebfbe3ltyrydt5/app.bsky.feed.post/3moetpg26kc24,,reply
keiya.tinyfairy.xyz,at://did:plc:yccfyp3uguq6xlnnwc73nkz6/app.bsky.feed.post/3modz4d5ehk26,,reply
hipstersasquatch.bsky.social,at://did:plc:nvfznp5ls3wcf6aktlfkfkp3/app.bsky.feed.post/3moezz643gk2k,,reply
tamslator.eurosky.social,at://did:plc:jye22xkea3jqsabskhfec347/app.bsky.feed.post/3moeih46mgc2w,,reply
tamslator.eurosky.social,at://did:plc:eoisdh7vuhqksq47skqqaeds/app.bsky.feed.post/3mof5kzq5nm24,,reply
clarystella.bsky.social,at://did:plc:tc2wqltflt4kg5pnsml7dldo/app.bsky.feed.post/3mof3wwzml22f,,reply
bogwitch-girl.bsky.social,at://did:plc:4tepv2ffnncc6ahvpjogsv7y/app.bsky.feed.post/3mofmazix5c2g,bogwitch-girl.bsky.social,reply
cypherstate.eurosky.social,at://did:plc:qq3utcqdikrwgda26vudw23i/app.bsky.feed.post/3mofr4saxvs2u,,reply
sazandorable.bsky.social,at://did:plc:asjxotyslctxbzcjw3qo33gr/app.bsky.feed.post/3mod43ezimc24,,reply
gavinsblog.bsky.social,at://did:plc:7airipzxl2wnxvkt4g34qvu7/app.bsky.feed.post/3mofz2ayaoc25,,reply
zaogon.bsky.social,at://did:plc:2cl3kploadg4zhg6gb4qhcyn/app.bsky.feed.post/3mog7av4hf22o,zaogon.bsky.social,reply
aaronmagica.myatproto.social,at://did:plc:pviczfmgvfsn3rz57fqku7uw/app.bsky.feed.post/3mogae63iss2q,,reply
therealjarkes.bsky.social,at://did:plc:oelskhwygubui6iixfypghaf/app.bsky.feed.post/3mog7sz77725o,,reply
aaronmagica.myatproto.social,at://did:plc:higc3ybdqqtdhfubriw72xgi/app.bsky.feed.post/3mogak2eask2w,therealjarkes.bsky.social,reply
jeffdechaise.bsky.social,at://did:plc:oelskhwygubui6iixfypghaf/app.bsky.feed.post/3mogalcodz25o,aaronmagica.myatproto.social,reply
therealjarkes.bsky.social,at://did:plc:y6c524g76jisdg5csngh2yif/app.bsky.feed.post/3mogaplykbc2c,jeffdechaise.bsky.social,reply
pennybee.bsky.social,at://did:plc:dl32ruwcpxyzs5yb3l7lbi5c/app.bsky.feed.post/3mogb4rytxk2u,pennybee.bsky.social,reply
sabera.mesia.blog,at://did:plc:5tyvbztk3aazgc5bqfphnkt6/app.bsky.feed.post/3mogcieukqc2l,,reply
syovere.bsky.social,at://did:plc:42zcvekzcpuvpbjt7mg6tixi/app.bsky.feed.post/3mogu6imsuk2m,,reply
tylk.bsky.social,at://did:plc:42zcvekzcpuvpbjt7mg6tixi/app.bsky.feed.post/3moh63xixas2g,,reply
yourlocalcryptid.bsky.social,at://did:plc:5lnik5j2qfb6omjgsp5yv7al/app.bsky.feed.post/3moheyc7k432f,,reply
cloudman.bsky.social,at://did:plc:42zcvekzcpuvpbjt7mg6tixi/app.bsky.feed.post/3mohag3vie22f,,reply
shadowspar.bsky.social,at://did:plc:pvxb47ag7gouo3s7psn2rgme/app.bsky.feed.post/3mohxxnys5k2j,,reply
redcomets.net,at://did:plc:yrg4pojruk75fzulneb7jehq/app.bsky.feed.post/3moiaghxfm22m,,reply
popcornbitch.bsky.social,at://did:plc:yrg4pojruk75fzulneb7jehq/app.bsky.feed.post/3moib27eqvc2m,,reply
thewrongsideoftime.bsky.social,at://did:plc:yrg4pojruk75fzulneb7jehq/app.bsky.feed.post/3moib27eqvc2m,,reply
thewrongsideoftime.bsky.social,at://did:plc:zdouvbb7uv3zuxrjfmb7raxc/app.bsky.feed.post/3moicmwu5a22x,popcornbitch.bsky.social,reply
superglaze.eurosky.social,at://did:plc:53xy3x3zo33lg6ukj2xuefye/app.bsky.feed.post/3mofn2r734223,,reply
that-wannabe-cat.itch.io,at://did:plc:lyarzs6flagmghqy334dp3c3/app.bsky.feed.post/3moidmhdmq22n,that-wannabe-cat.itch.io,reply
therealjarkes.bsky.social,at://did:plc:lyarzs6flagmghqy334dp3c3/app.bsky.feed.post/3moidmhdmq22n,that-wannabe-cat.itch.io,reply
loreandordure.com,at://did:plc:kycdf4wtirdp3qpdsl7yiot2/app.bsky.feed.post/3moifaxzyuc2r,,reply
pokaiserv.bsky.social,at://did:plc:hvflqob62zbgmhkk53omynzd/app.bsky.feed.post/3moiil7ycr22m,,reply
spacequeenemily.bsky.social,at://did:plc:hw26qxhsr5sqj4zwelzm2ck5/app.bsky.feed.post/3moikiacvc22q,,reply
shikaraishika.bsky.social,at://did:plc:rmtfi5su2i2b4s3vhppb4o4x/app.bsky.feed.post/3moikr3x7o222,,reply
thedreamcastjunkyard.co.uk,at://did:plc:7vqdzwy7mn2bpa3inzu7hukc/app.bsky.feed.post/3mogklugigs25,,reply
cave-malum.bsky.social,at://did:plc:oqexhdqbizq24v6ikjhhig2h/app.bsky.feed.post/3moiwwqna6s25,,reply
newmethos.bsky.social,at://did:plc:zgrga5twhrss665vepfgqgxj/app.bsky.feed.post/3moiy25msvk2a,newmethos.bsky.social,reply
czedwards.bsky.social,at://did:plc:ddkwwmygvai35ieoxu53ge6h/app.bsky.feed.post/3moizbadjhk2o,,reply
nonbinary.computer,at://did:plc:e5ag7tiod7kagoifesxl5tax/app.bsky.feed.post/3moj3lttr3c2a,,reply
maridoastolfo.bsky.social,at://did:plc:a627u6jglcigmedsywxalyxt/app.bsky.feed.post/3mojwv3hft222,maridoastolfo.bsky.social,reply
lawendt.bsky.social,at://did:plc:mfgntii4udcztehnnicqmqhk/app.bsky.feed.post/3mokk4fpfas2s,,reply
dragonzaghnal.bsky.social,at://did:plc:fpxijle22jmgljwqagcxfwau/app.bsky.feed.post/3mokuwxemok2s,lawendt.bsky.social,reply
martinvermeer.fediscience.org.ap.brid.gy,at://did:plc:4swgwbxjyjq3fcadp6j3oc6k/app.bsky.feed.post/3mokysofxfpl2,mrundkvist.archaeo.social.ap.brid.gy,reply
croak.fairy.blue,at://did:plc:qdrm5xk7i4um4tbwi3r6idzb/app.bsky.feed.post/3mol5ubf5fk2a,,reply
micahbateman.bsky.social,at://did:plc:wrpv75qosy4kvk4iir4wtj55/app.bsky.feed.post/3mol7jpdln22h,,reply
koralynne.bsky.social,at://did:plc:tdi652ts27xr2hwxgzidkots/app.bsky.feed.post/3molg5xrrkd2g,,reply
koralynne.bsky.social,at://did:plc:tdi652ts27xr2hwxgzidkots/app.bsky.feed.post/3molg5xrtit2g,koralynne.bsky.social,reply
gamutlute.bsky.social,at://did:plc:tmqzei3hkkehpccnoszqfofp/app.bsky.feed.post/3mole43fh7s2v,,reply
crossbeats.bsky.social,at://did:plc:zyqbami2zrhll5gepcx3mey2/app.bsky.feed.post/3momhzchhbs24,,reply
manybeary.bsky.social,at://did:plc:g77neurx7i62ucxhsgjl35og/app.bsky.feed.post/3molud46cw222,,reply
